Forage (année 2011) ;CE (μs/cm) ;T (°C);Ca++ (mg/l);Mg++ (mg/l);K+ (mg/l);NA+ (mg/l);HCO3- (mg/l);Cl- (mg/l)
7;0.189848808178021;0.646153846153846;0.347374968281769;0.216252750707325;0.106618811881188;0.0795526802218115;0.412386535552194;0.0950575471698113
8;0.331258803402269;0.656043956043956;0.549856726431034;0.427264561907756;0.134420792079208;0.0817153419593346;0.526418305597579;0.252104716981132
9;0.150680997950659;0.652747252747253;0.288438472821344;0.262127812457897;0.0931188118811881;0.0099815157116451;0.567265506807867;0.038861320754717
10;0.48309323596443;0.692307692307692;0.518603283842579;0.448565141240401;0.178574257425743;0.363327171903882;0.354519667170953;0.285220754716981
11;0.692817028273657;0.685714285714286;0.884726975658966;0.709049265729555;0.262871287128713;0.271497227356747;0.9;0.476388679245283
12;0.185262273378512;0.682417582417582;0.30428521033055;0.242134099788925;0.12800495049505;0.036731977818854;0.439618003025719;0.038861320754717
13;0.559388582931828;0.626373626373626;0.667150434152953;0.475120132932142;0.237787128712871;0.291792975970425;0.623430408472012;0.711206603773585
14;0.458898312769392;0.632967032967033;0.588924922174293;0.49279651502223;0.152465346534653;0.238558225508318;0.591093040847201;0.253109433962264
15;0.477532810620304;0.692307692307692;0.608743091614628;0.49581443391566;0.187128712871287;0.256192236598891;0.617738585352546;0.266037735849057
16;0.410709773363398;0.685714285714286;0.545395131793117;0.428908249876499;0.168014851485149;0.198865064695009;0.603857791225416;0.160785849056604
17;0.344751812065119;0.682417582417582;0.475073493461403;0.381389500157183;0.148455445544554;0.155412199630314;0.593645990922844;0.122153773584906
