T,Coxs I,Qki,Qki-1,Qki+1
527,97.723,48.666,47.694,53.551
528,100.777,53.551,48.666,55.572
529,101.494,55.572,53.551,52.395
530,96.357,52.395,55.572,49.431
531,90.805,49.431,52.395,48.61
532,87.54,48.61,49.431,51.034
533,86.918,51.034,48.61,50.404
534,87.086,50.404,51.034,48.63
535,87.395,48.63,50.404,46.848
536,86.79,46.848,48.63,44.947
537,85.717,44.947,46.848,42.658
538,81.297,42.658,44.947,41.577
539,74.521,41.577,42.658,41.608
540,70.375,41.608,41.577,41.149
541,67.537,41.149,41.608,40.421
542,66.374,40.421,41.149,38.964
543,70.65,38.964,40.421,37.869
544,77.132,37.869,38.964,37.567
545,77.907,37.567,37.869,36.899
546,78.318,36.899,37.567,37.066
547,78.918,37.066,36.899,37.518
548,79.681,37.518,37.066,37.703
549,78.845,37.703,37.518,37.954
550,75.532,37.954,37.703,38.111
551,74.733,38.111,37.954,39.795
552,79.728,39.795,38.111,42.389
553,81.636,42.389,39.795,45.225
554,75.743,45.225,42.389,45.323
555,71.368,45.323,45.225,48.336
556,71.503,48.336,45.323,50.812
557,82.986,50.812,48.336,51.34
558,94.822,51.34,50.812,59.92
559,118.661,59.92,51.34,61.5
560,136.777,61.5,59.92,59.304
561,116.94,59.304,61.5,54.756
562,97.583,54.756,59.304,50.087
563,87.747,50.087,54.756,46.079
564,80.921,46.079,50.087,42.931
565,76.289,42.931,46.079,41.576
566,72.679,41.576,42.931,41.105
567,71.941,41.105,41.576,39.445
568,70.977,39.445,41.105,38.809
569,71.489,38.809,39.445,39.173
570,72.037,39.173,38.809,40.92
571,72.522,40.92,39.173,54.449
572,80.06,54.449,40.92,76.806
573,140.333,76.806,54.449,167.689
574,210.569,167.689,76.806,215.535
575,187.201,215.535,167.689,147.275
576,163.679,147.275,215.535,119.565
577,141.677,119.565,147.275,104.377
578,126.335,104.377,119.565,97.046
579,110.84,97.046,104.377,87.454
580,100.628,87.454,97.046,82.561
581,93.231,82.561,87.454,78.697
582,88.586,78.697,82.561,74.769
583,84.391,74.769,78.697,71.737
584,80.626,71.737,74.769,69.274
585,74.877,69.274,71.737,65.419
586,70.207,65.419,69.274,61.842
587,64.098,61.842,65.419,59.133
588,63.582,59.133,61.842,56.56
589,62.056,56.56,59.133,53.995
590,61.722,53.995,56.56,51.797
591,65.022,51.797,53.995,49.755
592,65.224,49.755,51.797,47.784
593,69.967,47.784,49.755,47.652
594,65.851,47.652,47.784,47.457
595,60.996,47.457,47.652,49.703
596,57.824,49.703,47.457,50.808
597,61.32,50.808,49.703,55.79
598,58.891,55.79,50.808,59.268
599,56.306,59.268,55.79,59.272
600,56.032,59.272,59.268,65.998
601,59.139,65.998,59.272,79.682
602,58.056,79.682,65.998,74.636
603,58.406,74.636,79.682,73.017
604,61.776,73.017,74.636,289.233
605,95.688,289.233,73.017,882.639
606,129.101,882.639,289.233,725.623
607,125.885,725.623,882.639,519.758
608,120.681,519.758,725.623,396.876
609,116.461,396.876,519.758,319.389
610,116.522,319.389,396.876,284.299
611,116.611,284.299,319.389,315.034
612,113.637,315.034,284.299,277.35
613,110.448,277.35,315.034,243.881
614,104.023,243.881,277.35,227.386
615,100.366,227.386,243.881,203.878
616,101.37,203.878,227.386,198.446
617,99.209,198.446,203.878,190.794
618,93.316,190.794,198.446,173.462
619,89.983,173.462,190.794,179.085
620,117.63,179.085,173.462,347.27
621,180.764,347.27,179.085,399.775
622,169.426,399.775,347.27,317.579
