N,212250_COXS,212260_KOWMUNG
497,150.474,87.26
498,144.482,77.128
499,139.221,71.904
500,135.274,67.896
501,131.668,65.703
502,128.143,64.747
503,124.677,63.462
504,117.418,61.619
505,113.702,60.175
506,111.448,59.295
507,113.929,58.792
508,112.266,58.295
509,111.409,58.239
510,108.856,58.916
511,105.517,56.691
512,102.885,55.214
513,101.634,53.958
514,99.779,52.233
515,98.155,50.607
516,96.456,50.01
517,95.761,49.699
518,95.567,50.339
519,95.424,49.2
520,96.63,48.729
521,95.161,48.285
522,94.045,47.208
523,93.359,46.028
524,93.842,45.343
525,95.566,44.961
526,98.811,45.876
527,99.307,47.694
528,97.723,48.666
529,100.777,53.551
530,101.494,55.572
531,96.357,52.395
532,90.805,49.431
533,87.54,48.61
534,86.918,51.034
535,87.086,50.404
536,87.395,48.63
537,86.79,46.848
538,85.717,44.947
539,81.297,42.658
540,74.521,41.577
541,70.375,41.608
542,67.537,41.149
543,66.374,40.421
544,70.65,38.964
545,77.132,37.869
546,77.907,37.567
547,78.318,36.899
548,78.918,37.066
549,79.681,37.518
550,78.845,37.703
551,75.532,37.954
552,74.733,38.111
553,79.728,39.795
554,81.636,42.389
555,75.743,45.225
556,71.368,45.323
557,71.503,48.336
558,82.986,50.812
559,94.822,51.34
560,118.661,59.92
561,136.777,61.5
562,116.94,59.304
563,97.583,54.756
564,87.747,50.087
565,80.921,46.079
566,76.289,42.931
567,72.679,41.576
568,71.941,41.105
569,70.977,39.445
570,71.489,38.809
571,72.037,39.173
572,72.522,40.92
573,80.06,54.449
574,140.333,76.806
575,210.569,167.689
576,187.201,215.535
577,163.679,147.275
578,141.677,119.565
579,126.335,104.377
580,110.84,97.046
581,100.628,87.454
582,93.231,82.561
583,88.586,78.697
584,84.391,74.769
585,80.626,71.737
586,74.877,69.274
587,70.207,65.419
588,64.098,61.842
589,63.582,59.133
590,62.056,56.56
591,61.722,53.995
592,65.022,51.797
593,65.224,49.755
594,69.967,47.784
595,65.851,47.652
596,60.996,47.457
597,57.824,49.703
