T	Q1	Q2	Q3
319	0.13	0.03	0.02
320	0.03	0.02	0.02
321	0.02	0.02	0.01
322	0.02	0.01	0.02
323	0.01	0.02	0.12
324	0.02	0.12	0.05
325	0.12	0.05	0.02
326	0.05	0.02	0.04
327	0.02	0.04	0.04
328	0.04	0.04	0.02
329	0.04	0.02	0.02
330	0.02	0.02	0.02
331	0.02	0.02	0.02
332	0.02	0.02	0.01
333	0.02	0.01	0.02
334	0.01	0.02	0.02
335	0.02	0.02	0.09
336	0.02	0.09	0.35
337	0.09	0.35	0.07
338	0.35	0.07	0.04
339	0.07	0.04	0.20
340	0.04	0.20	0.11
341	0.20	0.11	0.10
342	0.11	0.10	0.02
343	0.10	0.02	0.02
344	0.02	0.02	0.01
345	0.02	0.01	0.01
346	0.01	0.01	0.01
347	0.01	0.01	0.05
348	0.01	0.05	0.20
349	0.05	0.20	0.09
350	0.20	0.09	0.03
351	0.09	0.03	0.02
352	0.03	0.02	0.02
353	0.02	0.02	0.04
354	0.02	0.04	0.07
355	0.04	0.07	0.03
356	0.07	0.03	0.03
357	0.03	0.03	0.02
358	0.03	0.02	0.07
359	0.02	0.07	0.03
360	0.07	0.03	0.08
361	0.03	0.08	0.06
362	0.08	0.06	0.06
363	0.06	0.06	0.14
364	0.06	0.14	0.15
365	0.14	0.15	0.10
366	0.15	0.10	0.05
367	0.10	0.05	0.03
368	0.05	0.03	0.02
369	0.03	0.02	0.01
370	0.02	0.01	0.08
371	0.01	0.08	0.04
372	0.08	0.04	0.04
373	0.04	0.04	0.04
374	0.04	0.04	0.07
375	0.04	0.07	0.04
376	0.07	0.04	0.04
377	0.04	0.04	0.03
378	0.04	0.03	0.02
379	0.03	0.02	0.05
380	0.02	0.05	0.03
381	0.05	0.03	0.02
382	0.03	0.02	0.02
383	0.02	0.02	0.02
384	0.02	0.02	0.02
385	0.02	0.02	0.02
386	0.02	0.02	0.03
387	0.02	0.03	0.03
388	0.03	0.03	0.04
389	0.03	0.04	0.08
390	0.04	0.08	0.03
391	0.08	0.03	0.02
392	0.03	0.02	0.01
393	0.02	0.01	0.01
394	0.01	0.01	0.01
395	0.01	0.01	0.00
396	0.01	0.00	0.00
