N,0*Qc(i),1*Qc(i-1),2*Qc(i-2),3*Qc(i-3),4*Qc(i-4),5*Qk(i),6*Qk(i-1),7*Qk(i-2),8*Qk(i-3),9*Qk(i-4),10*Qk(i+1)
3604,42.287,47.528,54.11,63.745,68.556,39.144,45.313,50.502,52.181,51.433,34.961
3605,38.86,42.287,47.528,54.11,63.745,34.961,39.144,45.313,50.502,52.181,32.265
3606,37.504,38.86,42.287,47.528,54.11,32.265,34.961,39.144,45.313,50.502,28.756
3607,35.511,37.504,38.86,42.287,47.528,28.756,32.265,34.961,39.144,45.313,26.219
3608,33.58,35.511,37.504,38.86,42.287,26.219,28.756,32.265,34.961,39.144,25.24
3609,29.137,33.58,35.511,37.504,38.86,25.24,26.219,28.756,32.265,34.961,24.33
3610,24.759,29.137,33.58,35.511,37.504,24.33,25.24,26.219,28.756,32.265,21.33
3611,23.067,24.759,29.137,33.58,35.511,21.33,24.33,25.24,26.219,28.756,19.289
3612,21.218,23.067,24.759,29.137,33.58,19.289,21.33,24.33,25.24,26.219,18.235
3613,20.091,21.218,23.067,24.759,29.137,18.235,19.289,21.33,24.33,25.24,14.303
3614,17.953,20.091,21.218,23.067,24.759,14.303,18.235,19.289,21.33,24.33,12.083
3615,15.403,17.953,20.091,21.218,23.067,12.083,14.303,18.235,19.289,21.33,12.124
3616,16.729,15.403,17.953,20.091,21.218,12.124,12.083,14.303,18.235,19.289,11.589
3617,17.842,16.729,15.403,17.953,20.091,11.589,12.124,12.083,14.303,18.235,11.342
3618,20.005,17.842,16.729,15.403,17.953,11.342,11.589,12.124,12.083,14.303,11.43
3619,20.072,20.005,17.842,16.729,15.403,11.43,11.342,11.589,12.124,12.083,12.162
3620,14.951,20.072,20.005,17.842,16.729,12.162,11.43,11.342,11.589,12.124,14.276
3621,12.234,14.951,20.072,20.005,17.842,14.276,12.162,11.43,11.342,11.589,13.576
3622,11.858,12.234,14.951,20.072,20.005,13.576,14.276,12.162,11.43,11.342,23.878
3623,13.162,11.858,12.234,14.951,20.072,23.878,13.576,14.276,12.162,11.43,23.411
3624,14.223,13.162,11.858,12.234,14.951,23.411,23.878,13.576,14.276,12.162,16.91
3625,24.396,14.223,13.162,11.858,12.234,16.91,23.411,23.878,13.576,14.276,11.376
3626,16.317,24.396,14.223,13.162,11.858,11.376,16.91,23.411,23.878,13.576,10.196
3627,11.016,16.317,24.396,14.223,13.162,10.196,11.376,16.91,23.411,23.878,10.867
3628,8.938,11.016,16.317,24.396,14.223,10.867,10.196,11.376,16.91,23.411,9.53
3629,7.307,8.938,11.016,16.317,24.396,9.53,10.867,10.196,11.376,16.91,6.976
3630,5.615,7.307,8.938,11.016,16.317,6.976,9.53,10.867,10.196,11.376,5.498
3631,4.358,5.615,7.307,8.938,11.016,5.498,6.976,9.53,10.867,10.196,4.343
3632,3.624,4.358,5.615,7.307,8.938,4.343,5.498,6.976,9.53,10.867,3.054
3633,2.885,3.624,4.358,5.615,7.307,3.054,4.343,5.498,6.976,9.53,1.987
3634,2.354,2.885,3.624,4.358,5.615,1.987,3.054,4.343,5.498,6.976,1.24
3635,1.881,2.354,2.885,3.624,4.358,1.24,1.987,3.054,4.343,5.498,0.888
3636,1.561,1.881,2.354,2.885,3.624,0.888,1.24,1.987,3.054,4.343,0.725
3637,1.711,1.561,1.881,2.354,2.885,0.725,0.888,1.24,1.987,3.054,0.486
3638,1.494,1.711,1.561,1.881,2.354,0.486,0.725,0.888,1.24,1.987,0.373
3639,1.254,1.494,1.711,1.561,1.881,0.373,0.486,0.725,0.888,1.24,0.359
3640,1.171,1.254,1.494,1.711,1.561,0.359,0.373,0.486,0.725,0.888,0.275
3641,1.329,1.171,1.254,1.494,1.711,0.275,0.359,0.373,0.486,0.725,0.203
3642,1.727,1.329,1.171,1.254,1.494,0.203,0.275,0.359,0.373,0.486,0.26
3643,1.887,1.727,1.329,1.171,1.254,0.26,0.203,0.275,0.359,0.373,0.205
3644,2.275,1.887,1.727,1.329,1.171,0.205,0.26,0.203,0.275,0.359,0.157
3645,3.839,2.275,1.887,1.727,1.329,0.157,0.205,0.26,0.203,0.275,0.128
3646,3.142,3.839,2.275,1.887,1.727,0.128,0.157,0.205,0.26,0.203,0.269
3647,3.29,3.142,3.839,2.275,1.887,0.269,0.128,0.157,0.205,0.26,0.493
3648,8.379,3.29,3.142,3.839,2.275,0.493,0.269,0.128,0.157,0.205,0.406
3649,18.16,8.379,3.29,3.142,3.839,0.406,0.493,0.269,0.128,0.157,32.116
3650,86.241,18.16,8.379,3.29,3.142,32.116,0.406,0.493,0.269,0.128,154.051
3651,175.506,86.241,18.16,8.379,3.29,154.051,32.116,0.406,0.493,0.269,161.632
3652,86.377,175.506,86.241,18.16,8.379,161.632,154.051,32.116,0.406,0.493,97.414
3653,55.898,86.377,175.506,86.241,18.16,97.414,161.632,154.051,32.116,0.406,62.027
3654,44.528,55.898,86.377,175.506,86.241,62.027,97.414,161.632,154.051,32.116,48.713
3655,40.288,44.528,55.898,86.377,175.506,48.713,62.027,97.414,161.632,154.051,44.955
3656,45.666,40.288,44.528,55.898,86.377,44.955,48.713,62.027,97.414,161.632,44.243
3657,55.33,45.666,40.288,44.528,55.898,44.243,44.955,48.713,62.027,97.414,52.482
3658,52.663,55.33,45.666,40.288,44.528,52.482,44.243,44.955,48.713,62.027,49.31
3659,48.819,52.663,55.33,45.666,40.288,49.31,52.482,44.243,44.955,48.713,41.57
3660,41.232,48.819,52.663,55.33,45.666,41.57,49.31,52.482,44.243,44.955,37.513
3661,37.992,41.232,48.819,52.663,55.33,37.513,41.57,49.31,52.482,44.243,30.742
3662,31.088,37.992,41.232,48.819,52.663,30.742,37.513,41.57,49.31,52.482,25.492
3663,26.129,31.088,37.992,41.232,48.819,25.492,30.742,37.513,41.57,49.31,20.255
3664,22.127,26.129,31.088,37.992,41.232,20.255,25.492,30.742,37.513,41.57,16.025
3665,18.758,22.127,26.129,31.088,37.992,16.025,20.255,25.492,30.742,37.513,12.763
3666,14.109,18.758,22.127,26.129,31.088,12.763,16.025,20.255,25.492,30.742,19.049
3667,13.426,14.109,18.758,22.127,26.129,19.049,12.763,16.025,20.255,25.492,27.12
3668,10.338,13.426,14.109,18.758,22.127,27.12,19.049,12.763,16.025,20.255,32.17
3669,10.699,10.338,13.426,14.109,18.758,32.17,27.12,19.049,12.763,16.025,45.338
3670,21.866,10.699,10.338,13.426,14.109,45.338,32.17,27.12,19.049,12.763,48.8
3671,30.345,21.866,10.699,10.338,13.426,48.8,45.338,32.17,27.12,19.049,36.663
3672,29.999,30.345,21.866,10.699,10.338,36.663,48.8,45.338,32.17,27.12,25.883
3673,21.867,29.999,30.345,21.866,10.699,25.883,36.663,48.8,45.338,32.17,23.075
3674,14.511,21.867,29.999,30.345,21.866,23.075,25.883,36.663,48.8,45.338,17.967
3675,9.949,14.511,21.867,29.999,30.345,17.967,23.075,25.883,36.663,48.8,12.205
3676,7.124,9.949,14.511,21.867,29.999,12.205,17.967,23.075,25.883,36.663,9.002
3677,5.593,7.124,9.949,14.511,21.867,9.002,12.205,17.967,23.075,25.883,7.596
3678,4.845,5.593,7.124,9.949,14.511,7.596,9.002,12.205,17.967,23.075,6.131
3679,3.681,4.845,5.593,7.124,9.949,6.131,7.596,9.002,12.205,17.967,7.009
3680,5.978,3.681,4.845,5.593,7.124,7.009,6.131,7.596,9.002,12.205,22.551
3681,11.786,5.978,3.681,4.845,5.593,22.551,7.009,6.131,7.596,9.002,28.568
3682,16.724,11.786,5.978,3.681,4.845,28.568,22.551,7.009,6.131,7.596,30.154
3683,68.649,16.724,11.786,5.978,3.681,30.154,28.568,22.551,7.009,6.131,23.822
3684,50.101,68.649,16.724,11.786,5.978,23.822,30.154,28.568,22.551,7.009,20.545
3685,34.614,50.101,68.649,16.724,11.786,20.545,23.822,30.154,28.568,22.551,16.882
3686,27.233,34.614,50.101,68.649,16.724,16.882,20.545,23.822,30.154,28.568,26.103
3687,36.656,27.233,34.614,50.101,68.649,26.103,16.882,20.545,23.822,30.154,634.382
3688,690.863,36.656,27.233,34.614,50.101,634.382,26.103,16.882,20.545,23.822,1316.468
3689,1879.931,690.863,36.656,27.233,34.614,1316.468,634.382,26.103,16.882,20.545,5161.151
3690,7344.815,1879.931,690.863,36.656,27.233,5161.151,1316.468,634.382,26.103,16.882,2901.205
3691,6046.894,7344.815,1879.931,690.863,36.656,2901.205,5161.151,1316.468,634.382,26.103,4091.089
3692,7589.409,6046.894,7344.815,1879.931,690.863,4091.089,2901.205,5161.151,1316.468,634.382,2424.022
3693,3834.212,7589.409,6046.894,7344.815,1879.931,2424.022,4091.089,2901.205,5161.151,1316.468,1324.862
3694,2309.91,3834.212,7589.409,6046.894,7344.815,1324.862,2424.022,4091.089,2901.205,5161.151,891.141
3695,1417.448,2309.91,3834.212,7589.409,6046.894,891.141,1324.862,2424.022,4091.089,2901.205,1087.176
3696,1045.833,1417.448,2309.91,3834.212,7589.409,1087.176,891.141,1324.862,2424.022,4091.089,800.465
3697,940.272,1045.833,1417.448,2309.91,3834.212,800.465,1087.176,891.141,1324.862,2424.022,1148.904
3698,1147.794,940.272,1045.833,1417.448,2309.91,1148.904,800.465,1087.176,891.141,1324.862,2176.16
3699,1177.574,1147.794,940.272,1045.833,1417.448,2176.16,1148.904,800.465,1087.176,891.141,1561.305
3700,902.143,1177.574,1147.794,940.272,1045.833,1561.305,2176.16,1148.904,800.465,1087.176,1017.485
3701,724.532,902.143,1177.574,1147.794,940.272,1017.485,1561.305,2176.16,1148.904,800.465,704.747
3702,579.359,724.532,902.143,1177.574,1147.794,704.747,1017.485,1561.305,2176.16,1148.904,537.234
3703,486.668,579.359,724.532,902.143,1177.574,537.234,704.747,1017.485,1561.305,2176.16,440.592
3704,422.445,486.668,579.359,724.532,902.143,440.592,537.234,704.747,1017.485,1561.305,364.555
3705,366.486,422.445,486.668,579.359,724.532,364.555,440.592,537.234,704.747,1017.485,302.666
3706,317.082,366.486,422.445,486.668,579.359,302.666,364.555,440.592,537.234,704.747,254.809
3707,275.851,317.082,366.486,422.445,486.668,254.809,302.666,364.555,440.592,537.234,224.994
3708,251.306,275.851,317.082,366.486,422.445,224.994,254.809,302.666,364.555,440.592,201.373
3709,234.033,251.306,275.851,317.082,366.486,201.373,224.994,254.809,302.666,364.555,180.586
3710,210.046,234.033,251.306,275.851,317.082,180.586,201.373,224.994,254.809,302.666,162.393
3711,192.866,210.046,234.033,251.306,275.851,162.393,180.586,201.373,224.994,254.809,152.478
3712,175.867,192.866,210.046,234.033,251.306,152.478,162.393,180.586,201.373,224.994,169.272
3713,168.796,175.867,192.866,210.046,234.033,169.272,152.478,162.393,180.586,201.373,165.447
3714,193.502,168.796,175.867,192.866,210.046,165.447,169.272,152.478,162.393,180.586,177.307
3715,198.217,193.502,168.796,175.867,192.866,177.307,165.447,169.272,152.478,162.393,163.142
3716,168.684,198.217,193.502,168.796,175.867,163.142,177.307,165.447,169.272,152.478,143.412
3717,164.604,168.684,198.217,193.502,168.796,143.412,163.142,177.307,165.447,169.272,155.324
3718,197.645,164.604,168.684,198.217,193.502,155.324,143.412,163.142,177.307,165.447,162.183
3719,190.079,197.645,164.604,168.684,198.217,162.183,155.324,143.412,163.142,177.307,214.854
3720,250.848,190.079,197.645,164.604,168.684,214.854,162.183,155.324,143.412,163.142,218.484
3721,218.817,250.848,190.079,197.645,164.604,218.484,214.854,162.183,155.324,143.412,190.947
3722,186.909,218.817,250.848,190.079,197.645,190.947,218.484,214.854,162.183,155.324,170.789
3723,180.297,186.909,218.817,250.848,190.079,170.789,190.947,218.484,214.854,162.183,154.914
3724,170.468,180.297,186.909,218.817,250.848,154.914,170.789,190.947,218.484,214.854,140.181
3725,159.564,170.468,180.297,186.909,218.817,140.181,154.914,170.789,190.947,218.484,132.488
3726,154.129,159.564,170.468,180.297,186.909,132.488,140.181,154.914,170.789,190.947,125.828
3727,150.731,154.129,159.564,170.468,180.297,125.828,132.488,140.181,154.914,170.789,118.918
3728,142.674,150.731,154.129,159.564,170.468,118.918,125.828,132.488,140.181,154.914,109.774
3729,131.866,142.674,150.731,154.129,159.564,109.774,118.918,125.828,132.488,140.181,98.907
3730,121.795,131.866,142.674,150.731,154.129,98.907,109.774,118.918,125.828,132.488,89.387
3731,114.058,121.795,131.866,142.674,150.731,89.387,98.907,109.774,118.918,125.828,80.859
3732,105.637,114.058,121.795,131.866,142.674,80.859,89.387,98.907,109.774,118.918,74.194
3733,103.163,105.637,114.058,121.795,131.866,74.194,80.859,89.387,98.907,109.774,68.171
3734,96.986,103.163,105.637,114.058,121.795,68.171,74.194,80.859,89.387,98.907,63.895
3735,91.213,96.986,103.163,105.637,114.058,63.895,68.171,74.194,80.859,89.387,59.384
3736,85.32,91.213,96.986,103.163,105.637,59.384,63.895,68.171,74.194,80.859,55.183
3737,80.614,85.32,91.213,96.986,103.163,55.183,59.384,63.895,68.171,74.194,53.037
3738,78.459,80.614,85.32,91.213,96.986,53.037,55.183,59.384,63.895,68.171,51.203
3739,73.993,78.459,80.614,85.32,91.213,51.203,53.037,55.183,59.384,63.895,52.455
3740,71.336,73.993,78.459,80.614,85.32,52.455,51.203,53.037,55.183,59.384,103.795
3741,92.62,71.336,73.993,78.459,80.614,103.795,52.455,51.203,53.037,55.183,227.208
3742,207.218,92.62,71.336,73.993,78.459,227.208,103.795,52.455,51.203,53.037,621.796
3743,401.312,207.218,92.62,71.336,73.993,621.796,227.208,103.795,52.455,51.203,569.231
3744,377.34,401.312,207.218,92.62,71.336,569.231,621.796,227.208,103.795,52.455,389.156
3745,271.469,377.34,401.312,207.218,92.62,389.156,569.231,621.796,227.208,103.795,292.096
3746,234.547,271.469,377.34,401.312,207.218,292.096,389.156,569.231,621.796,227.208,241.376
3747,218.85,234.547,271.469,377.34,401.312,241.376,292.096,389.156,569.231,621.796,211.213
3748,195.584,218.85,234.547,271.469,377.34,211.213,241.376,292.096,389.156,569.231,192.843
3749,175.544,195.584,218.85,234.547,271.469,192.843,211.213,241.376,292.096,389.156,189.526
3750,177.867,175.544,195.584,218.85,234.547,189.526,192.843,211.213,241.376,292.096,194.924
3751,192.61,177.867,175.544,195.584,218.85,194.924,189.526,192.843,211.213,241.376,203.417
3752,177.738,192.61,177.867,175.544,195.584,203.417,194.924,189.526,192.843,211.213,182.426
3753,161.488,177.738,192.61,177.867,175.544,182.426,203.417,194.924,189.526,192.843,161.596
3754,149.687,161.488,177.738,192.61,177.867,161.596,182.426,203.417,194.924,189.526,148.101
3755,138.45,149.687,161.488,177.738,192.61,148.101,161.596,182.426,203.417,194.924,140.319
3756,130.026,138.45,149.687,161.488,177.738,140.319,148.101,161.596,182.426,203.417,133.472
3757,122.775,130.026,138.45,149.687,161.488,133.472,140.319,148.101,161.596,182.426,126.133
3758,114.729,122.775,130.026,138.45,149.687,126.133,133.472,140.319,148.101,161.596,119.643
3759,108.4,114.729,122.775,130.026,138.45,119.643,126.133,133.472,140.319,148.101,115.046
3760,102.978,108.4,114.729,122.775,130.026,115.046,119.643,126.133,133.472,140.319,111.919
3761,98.818,102.978,108.4,114.729,122.775,111.919,115.046,119.643,126.133,133.472,104.966
3762,95.19,98.818,102.978,108.4,114.729,104.966,111.919,115.046,119.643,126.133,100.494
3763,92.016,95.19,98.818,102.978,108.4,100.494,104.966,111.919,115.046,119.643,98.18
3764,88.837,92.016,95.19,98.818,102.978,98.18,100.494,104.966,111.919,115.046,93.78
3765,85.489,88.837,92.016,95.19,98.818,93.78,98.18,100.494,104.966,111.919,90.36
3766,81.664,85.489,88.837,92.016,95.19,90.36,93.78,98.18,100.494,104.966,85.905
3767,78.31,81.664,85.489,88.837,92.016,85.905,90.36,93.78,98.18,100.494,88.568
3768,80.911,78.31,81.664,85.489,88.837,88.568,85.905,90.36,93.78,98.18,97.805
3769,83.45,80.911,78.31,81.664,85.489,97.805,88.568,85.905,90.36,93.78,113.857
3770,78.709,83.45,80.911,78.31,81.664,113.857,97.805,88.568,85.905,90.36,110.055
3771,73.604,78.709,83.45,80.911,78.31,110.055,113.857,97.805,88.568,85.905,91.617
3772,67.842,73.604,78.709,83.45,80.911,91.617,110.055,113.857,97.805,88.568,86.055
3773,65.404,67.842,73.604,78.709,83.45,86.055,91.617,110.055,113.857,97.805,83.133
3774,64.246,65.404,67.842,73.604,78.709,83.133,86.055,91.617,110.055,113.857,79.945
3775,65.325,64.246,65.404,67.842,73.604,79.945,83.133,86.055,91.617,110.055,76.318
3776,63.628,65.325,64.246,65.404,67.842,76.318,79.945,83.133,86.055,91.617,73.571
3777,63.677,63.628,65.325,64.246,65.404,73.571,76.318,79.945,83.133,86.055,73.051
3778,64.434,63.677,63.628,65.325,64.246,73.051,73.571,76.318,79.945,83.133,73.336
3779,69.526,64.434,63.677,63.628,65.325,73.336,73.051,73.571,76.318,79.945,79.828
3780,65.919,69.526,64.434,63.677,63.628,79.828,73.336,73.051,73.571,76.318,87.732
3781,62.22,65.919,69.526,64.434,63.677,87.732,79.828,73.336,73.051,73.571,72.738
3782,59.318,62.22,65.919,69.526,64.434,72.738,87.732,79.828,73.336,73.051,66.542
3783,57.061,59.318,62.22,65.919,69.526,66.542,72.738,87.732,79.828,73.336,63.895
3784,57.32,57.061,59.318,62.22,65.919,63.895,66.542,72.738,87.732,79.828,60.082
3785,53.477,57.32,57.061,59.318,62.22,60.082,63.895,66.542,72.738,87.732,55.99
3786,51.979,53.477,57.32,57.061,59.318,55.99,60.082,63.895,66.542,72.738,53.173
3787,50.278,51.979,53.477,57.32,57.061,53.173,55.99,60.082,63.895,66.542,51.824
3788,49.894,50.278,51.979,53.477,57.32,51.824,53.173,55.99,60.082,63.895,51.351
3789,49.773,49.894,50.278,51.979,53.477,51.351,51.824,53.173,55.99,60.082,51.086
3790,49.96,49.773,49.894,50.278,51.979,51.086,51.351,51.824,53.173,55.99,50.917
3791,50.744,49.96,49.773,49.894,50.278,50.917,51.086,51.351,51.824,53.173,51.715
3792,50.595,50.744,49.96,49.773,49.894,51.715,50.917,51.086,51.351,51.824,50.375
3793,50.392,50.595,50.744,49.96,49.773,50.375,51.715,50.917,51.086,51.351,49.649
3794,50.505,50.392,50.595,50.744,49.96,49.649,50.375,51.715,50.917,51.086,53.15
3795,52.019,50.505,50.392,50.595,50.744,53.15,49.649,50.375,51.715,50.917,49.414
3796,50.629,52.019,50.505,50.392,50.595,49.414,53.15,49.649,50.375,51.715,47.82
3797,50.394,50.629,52.019,50.505,50.392,47.82,49.414,53.15,49.649,50.375,50.696
3798,57.221,50.394,50.629,52.019,50.505,50.696,47.82,49.414,53.15,49.649,66.539
3799,78.591,57.221,50.394,50.629,52.019,66.539,50.696,47.82,49.414,53.15,155.452
3800,263.606,78.591,57.221,50.394,50.629,155.452,66.539,50.696,47.82,49.414,277.526
3801,231.339,263.606,78.591,57.221,50.394,277.526,155.452,66.539,50.696,47.82,198.217
3802,178.037,231.339,263.606,78.591,57.221,198.217,277.526,155.452,66.539,50.696,164.936
3803,177.882,178.037,231.339,263.606,78.591,164.936,198.217,277.526,155.452,66.539,170.783
3804,175.95,177.882,178.037,231.339,263.606,170.783,164.936,198.217,277.526,155.452,181.09
3805,161.122,175.95,177.882,178.037,231.339,181.09,170.783,164.936,198.217,277.526,206.778
3806,157.244,161.122,175.95,177.882,178.037,206.778,181.09,170.783,164.936,198.217,191.206
3807,144.947,157.244,161.122,175.95,177.882,191.206,206.778,181.09,170.783,164.936,259.717
3808,556.171,144.947,157.244,161.122,175.95,259.717,191.206,206.778,181.09,170.783,502.02
3809,639.098,556.171,144.947,157.244,161.122,502.02,259.717,191.206,206.778,181.09,443.841
3810,440.853,639.098,556.171,144.947,157.244,443.841,502.02,259.717,191.206,206.778,355.492
3811,356.157,440.853,639.098,556.171,144.947,355.492,443.841,502.02,259.717,191.206,300.559
3812,300.624,356.157,440.853,639.098,556.171,300.559,355.492,443.841,502.02,259.717,262.859
3813,255.274,300.624,356.157,440.853,639.098,262.859,300.559,355.492,443.841,502.02,237.154
3814,223.871,255.274,300.624,356.157,440.853,237.154,262.859,300.559,355.492,443.841,228.017
3815,200.385,223.871,255.274,300.624,356.157,228.017,237.154,262.859,300.559,355.492,213.517
3816,184.677,200.385,223.871,255.274,300.624,213.517,228.017,237.154,262.859,300.559,194.551
3817,170.834,184.677,200.385,223.871,255.274,194.551,213.517,228.017,237.154,262.859,178.967
3818,160.876,170.834,184.677,200.385,223.871,178.967,194.551,213.517,228.017,237.154,167.885
3819,152.305,160.876,170.834,184.677,200.385,167.885,178.967,194.551,213.517,228.017,159.832
3820,144.928,152.305,160.876,170.834,184.677,159.832,167.885,178.967,194.551,213.517,150.968
3821,138.819,144.928,152.305,160.876,170.834,150.968,159.832,167.885,178.967,194.551,150.069
3822,135.059,138.819,144.928,152.305,160.876,150.069,150.968,159.832,167.885,178.967,170.07
3823,129.287,135.059,138.819,144.928,152.305,170.07,150.069,150.968,159.832,167.885,160.988
3824,119.777,129.287,135.059,138.819,144.928,160.988,170.07,150.069,150.968,159.832,146.194
3825,115.646,119.777,129.287,135.059,138.819,146.194,160.988,170.07,150.069,150.968,140.066
3826,111.697,115.646,119.777,129.287,135.059,140.066,146.194,160.988,170.07,150.069,139.986
3827,118.097,111.697,115.646,119.777,129.287,139.986,140.066,146.194,160.988,170.07,163.832
3828,146.51,118.097,111.697,115.646,119.777,163.832,139.986,140.066,146.194,160.988,183.636
3829,153.244,146.51,118.097,111.697,115.646,183.636,163.832,139.986,140.066,146.194,170.237
3830,138.465,153.244,146.51,118.097,111.697,170.237,183.636,163.832,139.986,140.066,171.021
3831,139.72,138.465,153.244,146.51,118.097,171.021,170.237,183.636,163.832,139.986,185.095
3832,135.099,139.72,138.465,153.244,146.51,185.095,171.021,170.237,183.636,163.832,171.769
3833,132.718,135.099,139.72,138.465,153.244,171.769,185.095,171.021,170.237,183.636,162.24
3834,129.409,132.718,135.099,139.72,138.465,162.24,171.769,185.095,171.021,170.237,156.122
3835,126.568,129.409,132.718,135.099,139.72,156.122,162.24,171.769,185.095,171.021,151.784
3836,121.579,126.568,129.409,132.718,135.099,151.784,156.122,162.24,171.769,185.095,148.07
3837,117.875,121.579,126.568,129.409,132.718,148.07,151.784,156.122,162.24,171.769,146.131
3838,113.318,117.875,121.579,126.568,129.409,146.131,148.07,151.784,156.122,162.24,146.26
3839,110.075,113.318,117.875,121.579,126.568,146.26,146.131,148.07,151.784,156.122,142.092
3840,114.126,110.075,113.318,117.875,121.579,142.092,146.26,146.131,148.07,151.784,141.239
3841,124.154,114.126,110.075,113.318,117.875,141.239,142.092,146.26,146.131,148.07,151.452
3842,115.982,124.154,114.126,110.075,113.318,151.452,141.239,142.092,146.26,146.131,142.107
3843,110.057,115.982,124.154,114.126,110.075,142.107,151.452,141.239,142.092,146.26,137.051
3844,110.284,110.057,115.982,124.154,114.126,137.051,142.107,151.452,141.239,142.092,135.089
3845,109.895,110.284,110.057,115.982,124.154,135.089,137.051,142.107,151.452,141.239,131.825
3846,110.407,109.895,110.284,110.057,115.982,131.825,135.089,137.051,142.107,151.452,130.385
3847,108.45,110.407,109.895,110.284,110.057,130.385,131.825,135.089,137.051,142.107,138.498
3848,131.989,108.45,110.407,109.895,110.284,138.498,130.385,131.825,135.089,137.051,349.304
3849,229.772,131.989,108.45,110.407,109.895,349.304,138.498,130.385,131.825,135.089,586.704
3850,246.004,229.772,131.989,108.45,110.407,586.704,349.304,138.498,130.385,131.825,491.902
3851,254.726,246.004,229.772,131.989,108.45,491.902,586.704,349.304,138.498,130.385,405.632
3852,248.279,254.726,246.004,229.772,131.989,405.632,491.902,586.704,349.304,138.498,354.351
3853,212.913,248.279,254.726,246.004,229.772,354.351,405.632,491.902,586.704,349.304,317.55
3854,190.52,212.913,248.279,254.726,246.004,317.55,354.351,405.632,491.902,586.704,287.246
3855,174.124,190.52,212.913,248.279,254.726,287.246,317.55,354.351,405.632,491.902,260.315
3856,161.493,174.124,190.52,212.913,248.279,260.315,287.246,317.55,354.351,405.632,239.569
3857,152.271,161.493,174.124,190.52,212.913,239.569,260.315,287.246,317.55,354.351,224.972
3858,145.484,152.271,161.493,174.124,190.52,224.972,239.569,260.315,287.246,317.55,222.99
3859,142.154,145.484,152.271,161.493,174.124,222.99,224.972,239.569,260.315,287.246,207.454
3860,147.3,142.154,145.484,152.271,161.493,207.454,222.99,224.972,239.569,260.315,202.179
3861,162.095,147.3,142.154,145.484,152.271,202.179,207.454,222.99,224.972,239.569,197.703
3862,161.889,162.095,147.3,142.154,145.484,197.703,202.179,207.454,222.99,224.972,241.108
3863,244.115,161.889,162.095,147.3,142.154,241.108,197.703,202.179,207.454,222.99,302.773
3864,294.462,244.115,161.889,162.095,147.3,302.773,241.108,197.703,202.179,207.454,316.545
3865,299.999,294.462,244.115,161.889,162.095,316.545,302.773,241.108,197.703,202.179,313.551
3866,322.386,299.999,294.462,244.115,161.889,313.551,316.545,302.773,241.108,197.703,359.14
3867,344.958,322.386,299.999,294.462,244.115,359.14,313.551,316.545,302.773,241.108,470.786
3868,356.61,344.958,322.386,299.999,294.462,470.786,359.14,313.551,316.545,302.773,674.122
3869,339.493,356.61,344.958,322.386,299.999,674.122,470.786,359.14,313.551,316.545,581.836
3870,317.499,339.493,356.61,344.958,322.386,581.836,674.122,470.786,359.14,313.551,507.611
3871,292.017,317.499,339.493,356.61,344.958,507.611,581.836,674.122,470.786,359.14,453.293
3872,270.078,292.017,317.499,339.493,356.61,453.293,507.611,581.836,674.122,470.786,403.881
3873,251.678,270.078,292.017,317.499,339.493,403.881,453.293,507.611,581.836,674.122,367.468
3874,236.492,251.678,270.078,292.017,317.499,367.468,403.881,453.293,507.611,581.836,367.471
3875,263.459,236.492,251.678,270.078,292.017,367.471,367.468,403.881,453.293,507.611,699.714
3876,439.071,263.459,236.492,251.678,270.078,699.714,367.471,367.468,403.881,453.293,955.137
3877,530.302,439.071,263.459,236.492,251.678,955.137,699.714,367.471,367.468,403.881,1596.528
3878,713.194,530.302,439.071,263.459,236.492,1596.528,955.137,699.714,367.471,367.468,1223.366
3879,623.713,713.194,530.302,439.071,263.459,1223.366,1596.528,955.137,699.714,367.471,934.098
3880,521.191,623.713,713.194,530.302,439.071,934.098,1223.366,1596.528,955.137,699.714,801.009
3881,454.676,521.191,623.713,713.194,530.302,801.009,934.098,1223.366,1596.528,955.137,731.12
3882,405.942,454.676,521.191,623.713,713.194,731.12,801.009,934.098,1223.366,1596.528,630.915
3883,369.077,405.942,454.676,521.191,623.713,630.915,731.12,801.009,934.098,1223.366,1207.096
3884,837.544,369.077,405.942,454.676,521.191,1207.096,630.915,731.12,801.009,934.098,1694.125
3885,1394.915,837.544,369.077,405.942,454.676,1694.125,1207.096,630.915,731.12,801.009,1213.2
3886,890.085,1394.915,837.544,369.077,405.942,1213.2,1694.125,1207.096,630.915,731.12,984.206
3887,689.032,890.085,1394.915,837.544,369.077,984.206,1213.2,1694.125,1207.096,630.915,825.213
3888,581.794,689.032,890.085,1394.915,837.544,825.213,984.206,1213.2,1694.125,1207.096,718.628
3889,523.908,581.794,689.032,890.085,1394.915,718.628,825.213,984.206,1213.2,1694.125,655.833
3890,465.743,523.908,581.794,689.032,890.085,655.833,718.628,825.213,984.206,1213.2,586.487
3891,425.231,465.743,523.908,581.794,689.032,586.487,655.833,718.628,825.213,984.206,602.251
3892,410.863,425.231,465.743,523.908,581.794,602.251,586.487,655.833,718.628,825.213,724.367
3893,408.905,410.863,425.231,465.743,523.908,724.367,602.251,586.487,655.833,718.628,614.152
3894,392.766,408.905,410.863,425.231,465.743,614.152,724.367,602.251,586.487,655.833,527.237
3895,346.106,392.766,408.905,410.863,425.231,527.237,614.152,724.367,602.251,586.487,485.31
