N,0*Qc(i),1*Qc(i-1),2*Qc(i-2),3*Qc(i-3),4*Qc(i-4),5*Qk(i),6*Qk(i-1),7*Qk(i-2),8*Qk(i-3),9*Qk(i-4),10*Qk(i+1)
4829,333.792,344.354,374.196,414.348,465.002,245.844,260.327,277.728,302.36,344.787,232.072
4830,313.12,333.792,344.354,374.196,414.348,232.072,245.844,260.327,277.728,302.36,218.929
4831,306.4,313.12,333.792,344.354,374.196,218.929,232.072,245.844,260.327,277.728,209.238
4832,290.227,306.4,313.12,333.792,344.354,209.238,218.929,232.072,245.844,260.327,195.995
4833,267.703,290.227,306.4,313.12,333.792,195.995,209.238,218.929,232.072,245.844,177.146
4834,252.611,267.703,290.227,306.4,313.12,177.146,195.995,209.238,218.929,232.072,164.127
4835,245.111,252.611,267.703,290.227,306.4,164.127,177.146,195.995,209.238,218.929,155.761
4836,226.562,245.111,252.611,267.703,290.227,155.761,164.127,177.146,195.995,209.238,147.204
4837,211.024,226.562,245.111,252.611,267.703,147.204,155.761,164.127,177.146,195.995,141.034
4838,198.46,211.024,226.562,245.111,252.611,141.034,147.204,155.761,164.127,177.146,137.192
4839,191.701,198.46,211.024,226.562,245.111,137.192,141.034,147.204,155.761,164.127,130.039
4840,186.69,191.701,198.46,211.024,226.562,130.039,137.192,141.034,147.204,155.761,125.617
4841,180.879,186.69,191.701,198.46,211.024,125.617,130.039,137.192,141.034,147.204,121.058
4842,175.191,180.879,186.69,191.701,198.46,121.058,125.617,130.039,137.192,141.034,124.098
4843,179.835,175.191,180.879,186.69,191.701,124.098,121.058,125.617,130.039,137.192,151.417
4844,215.718,179.835,175.191,180.879,186.69,151.417,124.098,121.058,125.617,130.039,155.442
4845,214.484,215.718,179.835,175.191,180.879,155.442,151.417,124.098,121.058,125.617,145.288
4846,200.501,214.484,215.718,179.835,175.191,145.288,155.442,151.417,124.098,121.058,135.04
4847,200.814,200.501,214.484,215.718,179.835,135.04,145.288,155.442,151.417,124.098,127.697
4848,197.801,200.814,200.501,214.484,215.718,127.697,135.04,145.288,155.442,151.417,120.479
4849,192.751,197.801,200.814,200.501,214.484,120.479,127.697,135.04,145.288,155.442,113.361
4850,175.811,192.751,197.801,200.814,200.501,113.361,120.479,127.697,135.04,145.288,107.198
4851,164.494,175.811,192.751,197.801,200.814,107.198,113.361,120.479,127.697,135.04,101.872
4852,157.921,164.494,175.811,192.751,197.801,101.872,107.198,113.361,120.479,127.697,97.649
4853,152.689,157.921,164.494,175.811,192.751,97.649,101.872,107.198,113.361,120.479,94.392
4854,147.222,152.689,157.921,164.494,175.811,94.392,97.649,101.872,107.198,113.361,106.77
4855,162.494,147.222,152.689,157.921,164.494,106.77,94.392,97.649,101.872,107.198,130.143
4856,186.261,162.494,147.222,152.689,157.921,130.143,106.77,94.392,97.649,101.872,151.866
4857,213.88,186.261,162.494,147.222,152.689,151.866,130.143,106.77,94.392,97.649,142.082
4858,193.143,213.88,186.261,162.494,147.222,142.082,151.866,130.143,106.77,94.392,135.028
4859,173.778,193.143,213.88,186.261,162.494,135.028,142.082,151.866,130.143,106.77,145.535
4860,204.589,173.778,193.143,213.88,186.261,145.535,135.028,142.082,151.866,130.143,177.322
4861,190.925,204.589,173.778,193.143,213.88,177.322,145.535,135.028,142.082,151.866,141.566
4862,167.483,190.925,204.589,173.778,193.143,141.566,177.322,145.535,135.028,142.082,121.438
4863,152.054,167.483,190.925,204.589,173.778,121.438,141.566,177.322,145.535,135.028,110.575
4864,142.206,152.054,167.483,190.925,204.589,110.575,121.438,141.566,177.322,145.535,102.003
4865,132.741,142.206,152.054,167.483,190.925,102.003,110.575,121.438,141.566,177.322,95.814
4866,128.646,132.741,142.206,152.054,167.483,95.814,102.003,110.575,121.438,141.566,91.682
4867,126.158,128.646,132.741,142.206,152.054,91.682,95.814,102.003,110.575,121.438,86.45
4868,123.113,126.158,128.646,132.741,142.206,86.45,91.682,95.814,102.003,110.575,82.104
4869,116.183,123.113,126.158,128.646,132.741,82.104,86.45,91.682,95.814,102.003,79.409
4870,114.444,116.183,123.113,126.158,128.646,79.409,82.104,86.45,91.682,95.814,75.869
4871,113.453,114.444,116.183,123.113,126.158,75.869,79.409,82.104,86.45,91.682,73.39
4872,110.775,113.453,114.444,116.183,123.113,73.39,75.869,79.409,82.104,86.45,71.671
4873,108.921,110.775,113.453,114.444,116.183,71.671,73.39,75.869,79.409,82.104,68.067
4874,104.286,108.921,110.775,113.453,114.444,68.067,71.671,73.39,75.869,79.409,65.761
4875,103.064,104.286,108.921,110.775,113.453,65.761,68.067,71.671,73.39,75.869,64.547
4876,105.238,103.064,104.286,108.921,110.775,64.547,65.761,68.067,71.671,73.39,64.292
4877,104.886,105.238,103.064,104.286,108.921,64.292,64.547,65.761,68.067,71.671,64.507
4878,106.172,104.886,105.238,103.064,104.286,64.507,64.292,64.547,65.761,68.067,64.525
4879,105.395,106.172,104.886,105.238,103.064,64.525,64.507,64.292,64.547,65.761,63.509
4880,104.655,105.395,106.172,104.886,105.238,63.509,64.525,64.507,64.292,64.547,62.586
4881,105.119,104.655,105.395,106.172,104.886,62.586,63.509,64.525,64.507,64.292,61.558
4882,107.029,105.119,104.655,105.395,106.172,61.558,62.586,63.509,64.525,64.507,62.003
4883,108.04,107.029,105.119,104.655,105.395,62.003,61.558,62.586,63.509,64.525,62.365
4884,107.794,108.04,107.029,105.119,104.655,62.365,62.003,61.558,62.586,63.509,65.618
4885,103.214,107.794,108.04,107.029,105.119,65.618,62.365,62.003,61.558,62.586,65.297
4886,103.023,103.214,107.794,108.04,107.029,65.297,65.618,62.365,62.003,61.558,62.263
4887,101.937,103.023,103.214,107.794,108.04,62.263,65.297,65.618,62.365,62.003,62.949
4888,98.679,101.937,103.023,103.214,107.794,62.949,62.263,65.297,65.618,62.365,61.221
4889,93.478,98.679,101.937,103.023,103.214,61.221,62.949,62.263,65.297,65.618,58.031
4890,90.073,93.478,98.679,101.937,103.023,58.031,61.221,62.949,62.263,65.297,57.107
4891,99.214,90.073,93.478,98.679,101.937,57.107,58.031,61.221,62.949,62.263,82.134
4892,127.39,99.214,90.073,93.478,98.679,82.134,57.107,58.031,61.221,62.949,134.512
4893,195.206,127.39,99.214,90.073,93.478,134.512,82.134,57.107,58.031,61.221,199.175
4894,193.457,195.206,127.39,99.214,90.073,199.175,134.512,82.134,57.107,58.031,148.958
4895,167.748,193.457,195.206,127.39,99.214,148.958,199.175,134.512,82.134,57.107,120.015
4896,146.533,167.748,193.457,195.206,127.39,120.015,148.958,199.175,134.512,82.134,103.554
4897,132.319,146.533,167.748,193.457,195.206,103.554,120.015,148.958,199.175,134.512,93.743
4898,127.899,132.319,146.533,167.748,193.457,93.743,103.554,120.015,148.958,199.175,88.209
4899,121.683,127.899,132.319,146.533,167.748,88.209,93.743,103.554,120.015,148.958,84.194
4900,116.245,121.683,127.899,132.319,146.533,84.194,88.209,93.743,103.554,120.015,80.381
4901,113.94,116.245,121.683,127.899,132.319,80.381,84.194,88.209,93.743,103.554,103.731
4902,143.311,113.94,116.245,121.683,127.899,103.731,80.381,84.194,88.209,93.743,257.354
4903,252.384,143.311,113.94,116.245,121.683,257.354,103.731,80.381,84.194,88.209,268.031
4904,221.099,252.384,143.311,113.94,116.245,268.031,257.354,103.731,80.381,84.194,183.478
4905,205.486,221.099,252.384,143.311,113.94,183.478,268.031,257.354,103.731,80.381,150.275
4906,176.296,205.486,221.099,252.384,143.311,150.275,183.478,268.031,257.354,103.731,131.877
4907,174.107,176.296,205.486,221.099,252.384,131.877,150.275,183.478,268.031,257.354,117.984
4908,160.556,174.107,176.296,205.486,221.099,117.984,131.877,150.275,183.478,268.031,109.656
4909,151.12,160.556,174.107,176.296,205.486,109.656,117.984,131.877,150.275,183.478,103.261
4910,146.473,151.12,160.556,174.107,176.296,103.261,109.656,117.984,131.877,150.275,99.112
4911,144.81,146.473,151.12,160.556,174.107,99.112,103.261,109.656,117.984,131.877,98.845
4912,146.738,144.81,146.473,151.12,160.556,98.845,99.112,103.261,109.656,117.984,98.069
4913,155.61,146.738,144.81,146.473,151.12,98.069,98.845,99.112,103.261,109.656,99.643
4914,154.333,155.61,146.738,144.81,146.473,99.643,98.069,98.845,99.112,103.261,97.738
4915,152.048,154.333,155.61,146.738,144.81,97.738,99.643,98.069,98.845,99.112,89.535
4916,145.667,152.048,154.333,155.61,146.738,89.535,97.738,99.643,98.069,98.845,86.671
4917,139.822,145.667,152.048,154.333,155.61,86.671,89.535,97.738,99.643,98.069,78.365
4918,134.132,139.822,145.667,152.048,154.333,78.365,86.671,89.535,97.738,99.643,72.957
4919,131.733,134.132,139.822,145.667,152.048,72.957,78.365,86.671,89.535,97.738,68.289
4920,131.434,131.733,134.132,139.822,145.667,68.289,72.957,78.365,86.671,89.535,65.306
4921,138.703,131.434,131.733,134.132,139.822,65.306,68.289,72.957,78.365,86.671,61.669
4922,138.134,138.703,131.434,131.733,134.132,61.669,65.306,68.289,72.957,78.365,59.868
4923,130.372,138.134,138.703,131.434,131.733,59.868,61.669,65.306,68.289,72.957,75.441
4924,149.978,130.372,138.134,138.703,131.434,75.441,59.868,61.669,65.306,68.289,1503.839
4925,956.031,149.978,130.372,138.134,138.703,1503.839,75.441,59.868,61.669,65.306,8389.93
4926,5587.987,956.031,149.978,130.372,138.134,8389.93,1503.839,75.441,59.868,61.669,3993.743
4927,4125.774,5587.987,956.031,149.978,130.372,3993.743,8389.93,1503.839,75.441,59.868,2461.942
4928,2618.775,4125.774,5587.987,956.031,149.978,2461.942,3993.743,8389.93,1503.839,75.441,2885.233
4929,3372.784,2618.775,4125.774,5587.987,956.031,2885.233,2461.942,3993.743,8389.93,1503.839,3565.581
4930,3814.972,3372.784,2618.775,4125.774,5587.987,3565.581,2885.233,2461.942,3993.743,8389.93,2315.309
4931,2640.213,3814.972,3372.784,2618.775,4125.774,2315.309,3565.581,2885.233,2461.942,3993.743,1726.07
4932,1896.526,2640.213,3814.972,3372.784,2618.775,1726.07,2315.309,3565.581,2885.233,2461.942,1415.351
4933,1414.053,1896.526,2640.213,3814.972,3372.784,1415.351,1726.07,2315.309,3565.581,2885.233,1191.221
4934,1096.541,1414.053,1896.526,2640.213,3814.972,1191.221,1415.351,1726.07,2315.309,3565.581,990.639
4935,898.434,1096.541,1414.053,1896.526,2640.213,990.639,1191.221,1415.351,1726.07,2315.309,833.417
4936,763.285,898.434,1096.541,1414.053,1896.526,833.417,990.639,1191.221,1415.351,1726.07,719.038
4937,659.764,763.285,898.434,1096.541,1414.053,719.038,833.417,990.639,1191.221,1415.351,636.848
4938,571.953,659.764,763.285,898.434,1096.541,636.848,719.038,833.417,990.639,1191.221,576.271
4939,507.355,571.953,659.764,763.285,898.434,576.271,636.848,719.038,833.417,990.639,541.003
4940,469.293,507.355,571.953,659.764,763.285,541.003,576.271,636.848,719.038,833.417,515.589
4941,442.282,469.293,507.355,571.953,659.764,515.589,541.003,576.271,636.848,719.038,472.621
4942,424.519,442.282,469.293,507.355,571.953,472.621,515.589,541.003,576.271,636.848,440.964
4943,424.785,424.519,442.282,469.293,507.355,440.964,472.621,515.589,541.003,576.271,415.506
4944,414.651,424.785,424.519,442.282,469.293,415.506,440.964,472.621,515.589,541.003,402.403
4945,398.189,414.651,424.785,424.519,442.282,402.403,415.506,440.964,472.621,515.589,394.65
4946,373.503,398.189,414.651,424.785,424.519,394.65,402.403,415.506,440.964,472.621,393.597
4947,362.104,373.503,398.189,414.651,424.785,393.597,394.65,402.403,415.506,440.964,390.612
4948,353.262,362.104,373.503,398.189,414.651,390.612,393.597,394.65,402.403,415.506,356.523
4949,362.87,353.262,362.104,373.503,398.189,356.523,390.612,393.597,394.65,402.403,415.791
4950,371.882,362.87,353.262,362.104,373.503,415.791,356.523,390.612,393.597,394.65,557.561
4951,367.699,371.882,362.87,353.262,362.104,557.561,415.791,356.523,390.612,393.597,440.072
4952,374.083,367.699,371.882,362.87,353.262,440.072,557.561,415.791,356.523,390.612,390.769
4953,342.858,374.083,367.699,371.882,362.87,390.769,440.072,557.561,415.791,356.523,353.92
4954,312.48,342.858,374.083,367.699,371.882,353.92,390.769,440.072,557.561,415.791,326.743
4955,286.277,312.48,342.858,374.083,367.699,326.743,353.92,390.769,440.072,557.561,305.985
4956,262.068,286.277,312.48,342.858,374.083,305.985,326.743,353.92,390.769,440.072,289.52
4957,242.368,262.068,286.277,312.48,342.858,289.52,305.985,326.743,353.92,390.769,274.363
4958,230.263,242.368,262.068,286.277,312.48,274.363,289.52,305.985,326.743,353.92,264.557
4959,222.964,230.263,242.368,262.068,286.277,264.557,274.363,289.52,305.985,326.743,256.734
4960,214.933,222.964,230.263,242.368,262.068,256.734,264.557,274.363,289.52,305.985,248.918
4961,212.629,214.933,222.964,230.263,242.368,248.918,256.734,264.557,274.363,289.52,245.431
4962,213.607,212.629,214.933,222.964,230.263,245.431,248.918,256.734,264.557,274.363,237.538
4963,214.095,213.607,212.629,214.933,222.964,237.538,245.431,248.918,256.734,264.557,226.987
4964,215.907,214.095,213.607,212.629,214.933,226.987,237.538,245.431,248.918,256.734,217.109
4965,205.676,215.907,214.095,213.607,212.629,217.109,226.987,237.538,245.431,248.918,208.078
4966,209.031,205.676,215.907,214.095,213.607,208.078,217.109,226.987,237.538,245.431,202.745
4967,189.329,209.031,205.676,215.907,214.095,202.745,208.078,217.109,226.987,237.538,195.496
4968,187.178,189.329,209.031,205.676,215.907,195.496,202.745,208.078,217.109,226.987,204.186
4969,189.664,187.178,189.329,209.031,205.676,204.186,195.496,202.745,208.078,217.109,220.706
4970,200.923,189.664,187.178,189.329,209.031,220.706,204.186,195.496,202.745,208.078,211.03
4971,182.671,200.923,189.664,187.178,189.329,211.03,220.706,204.186,195.496,202.745,188.65
4972,180.245,182.671,200.923,189.664,187.178,188.65,211.03,220.706,204.186,195.496,178.01
4973,176.569,180.245,182.671,200.923,189.664,178.01,188.65,211.03,220.706,204.186,176.355
4974,179.485,176.569,180.245,182.671,200.923,176.355,178.01,188.65,211.03,220.706,188.821
4975,173.59,179.485,176.569,180.245,182.671,188.821,176.355,178.01,188.65,211.03,171.872
4976,171.353,173.59,179.485,176.569,180.245,171.872,188.821,176.355,178.01,188.65,162.411
4977,162.227,171.353,173.59,179.485,176.569,162.411,171.872,188.821,176.355,178.01,160.549
4978,162.597,162.227,171.353,173.59,179.485,160.549,162.411,171.872,188.821,176.355,159.746
4979,155.448,162.597,162.227,171.353,173.59,159.746,160.549,162.411,171.872,188.821,170.836
4980,154.07,155.448,162.597,162.227,171.353,170.836,159.746,160.549,162.411,171.872,153.137
4981,158.308,154.07,155.448,162.597,162.227,153.137,170.836,159.746,160.549,162.411,154.466
4982,165.747,158.308,154.07,155.448,162.597,154.466,153.137,170.836,159.746,160.549,159.218
4983,159.488,165.747,158.308,154.07,155.448,159.218,154.466,153.137,170.836,159.746,156.7
4984,139.3,159.488,165.747,158.308,154.07,156.7,159.218,154.466,153.137,170.836,162.052
4985,124.538,139.3,159.488,165.747,158.308,162.052,156.7,159.218,154.466,153.137,173.429
